comparison,horizon,t_stat,p_value
buy vs sell,excess_ret_1m,4.139882682601857,3.856021602528984e-05
buy vs sell,excess_ret_3m,1.8044533243303766,0.0715543441192368
buy vs sell,excess_ret_6m,-1.68930817800608,0.09157211721140383
buy vs hold,excess_ret_1m,8.070382570187531,8.160409912015463e-16
buy vs hold,excess_ret_3m,5.598431387103132,2.2462435648328143e-08
buy vs hold,excess_ret_6m,2.286454169596235,0.022257687159711492
hold vs sell,excess_ret_1m,0.6916350053611486,0.4893379541412961
hold vs sell,excess_ret_3m,-0.631255753885011,0.5280269772320938
hold vs sell,excess_ret_6m,-2.567128725348963,0.010411894456611722
