GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget,rating,ticker,ret_1m,ret_3m,ret_6m,spy_ret_1m,spy_ret_3m,spy_ret_6m,excess_ret_1m,excess_ret_3m,excess_ret_6m
2026-08-27 11:46:13,Raymond James,Strong Buy,Strong Buy,main,Raises,515.0,352.0,buy,NVDA,,,,-0.7798686645876921,-0.7798686645876921,-0.7798686645876921,,,
2026-08-25 10:01:49,Raymond James,Strong Buy,Strong Buy,main,Raises,352.0,330.0,buy,NVDA,,,,-0.7788345125018495,-0.7788345125018495,-0.7788345125018495,,,
2026-08-24 12:53:52,Rosenblatt,Buy,Buy,main,Maintains,325.0,325.0,buy,NVDA,,,,-0.7788800169992258,-0.7788800169992258,-0.7788800169992258,,,
2026-08-24 12:37:09,Keybanc,Overweight,Overweight,reit,Maintains,330.0,330.0,buy,NVDA,,,,-0.7788800169992258,-0.7788800169992258,-0.7788800169992258,,,
2026-08-24 10:35:02,Cantor Fitzgerald,Overweight,Overweight,reit,Maintains,350.0,350.0,buy,NVDA,,,,-0.7788800169992258,-0.7788800169992258,-0.7788800169992258,,,
2026-08-21 10:55:03,BMO Capital,Outperform,Outperform,init,Announces,340.0,0.0,buy,NVDA,,,,-0.778174433360384,-0.778174433360384,-0.778174433360384,,,
2026-08-20 13:31:36,RBC Capital,Outperform,Outperform,reit,Maintains,300.0,300.0,buy,NVDA,,,,-0.7787961813590412,-0.7787961813590412,-0.7787961813590412,,,
2026-08-11 11:03:13,Wells Fargo,Overweight,Overweight,reit,Maintains,315.0,315.0,buy,NVDA,-0.057539063748866956,,,-0.7809124378155853,-0.7809124378155853,-0.7809124378155853,0.7233733740667183,,
2026-07-14 11:17:59,Keybanc,Overweight,Overweight,main,Raises,330.0,310.0,buy,NVDA,0.058870589642576424,,,-0.7758174426233736,-0.7758174426233736,-0.7758174426233736,0.83468803226595,,
2026-06-05 15:32:35,China Renaissance,Buy,,init,Announces,319.0,0.0,buy,NVDA,-0.0627396188707283,0.08191139823642268,,-0.7707720940321825,-0.7707720940321825,-0.7707720940321825,0.7080324751614542,0.8526834922686052,
2026-06-02 16:40:48,Needham,Buy,Buy,reit,Maintains,270.0,270.0,buy,NVDA,-0.08834497954672349,0.06503493864017046,,-0.7752618675822661,-0.7752618675822661,-0.7752618675822661,0.6869168880355426,0.8402968062224365,
